节点位移  单位：m
  节点号         x方向位移               y方向位移
    59        -2.98666360e+04         -9.93580536e+04          2.04060429e+04
    60        -2.50227246e+04         -9.51063261e+04          2.33370230e+04
    61        -2.14318518e+04         -8.92447490e+04          2.65463252e+04
    62        -1.91446538e+04         -8.14183575e+04          3.07414702e+04
    63        -1.81743021e+04         -7.62145072e+04          3.32334061e+04
    64        -4.56052827e+04         -1.20799111e+05          8.51480002e+02
    65        -4.24115122e+04         -1.06278746e+05          4.03352306e+03
    66        -3.88029311e+04         -9.80337873e+04          8.60693826e+03
    67        -3.39476267e+04         -9.32397604e+04          1.29235353e+04
    68        -2.88968720e+04         -8.96060949e+04          1.66595935e+04
    69        -2.44055685e+04         -8.56869795e+04          2.01258334e+04
    70        -2.08557973e+04         -8.07159730e+04          2.38173191e+04
    71        -1.83562711e+04         -7.43639757e+04          2.82886694e+04
    72        -1.74099339e+04         -7.10278371e+04          3.08633322e+04
    73        -4.06741810e+04         -1.09677918e+05          9.46919604e+00
    74        -3.81165702e+04         -9.70892721e+04          2.24695531e+03
    75        -3.53501575e+04         -8.91187465e+04          5.52945933e+03
    76        -3.14934685e+04         -8.40206710e+04          9.30063187e+03
    77        -2.72644610e+04         -8.02351506e+04          1.30658563e+04
    78        -2.32674767e+04         -7.65860615e+04          1.68344777e+04
    79        -1.98894689e+04         -7.23457508e+04          2.08683321e+04
    80        -1.72822707e+04         -6.71760690e+04          2.55279514e+04
    81        -1.63293158e+04         -6.51071655e+04          2.81458071e+04
    82        -3.56529784e+04         -9.74560764e+04         -5.99975216e+02
    83        -3.36250982e+04         -8.68999297e+04          8.93631566e+02
    84        -3.15177652e+04         -7.97210023e+04          3.07452099e+03
    85        -2.85065325e+04         -7.47853405e+04          6.20287573e+03
    86        -2.50614532e+04         -7.10720641e+04          9.75845216e+03
    87        -2.16196860e+04         -6.77141679e+04          1.35877868e+04
    88        -1.85140987e+04         -6.41002274e+04          1.77793249e+04
    89        -1.59204745e+04         -5.98852786e+04          2.25208813e+04
    90        -1.49766392e+04         -5.86724795e+04          2.51461127e+04
    91        -3.05829202e+04         -8.43663091e+04         -1.03824822e+03
    92        -2.90148558e+04         -7.58697937e+04         -1.22316515e+02
    93        -2.74388590e+04         -6.97857265e+04          1.15239736e+03
    94        -2.51442814e+04         -6.53569562e+04          3.62867465e+03
    95        -2.24185138e+04         -6.19378235e+04          6.81868115e+03
    96        -1.95463177e+04         -5.89373798e+04          1.04969798e+04
    97        -1.67816876e+04         -5.58991037e+04          1.46486709e+04
    98        -1.43114699e+04         -5.24960376e+04          1.93512036e+04
    99        -1.34205881e+04         -5.19326717e+04          2.19465073e+04
   100        -2.54902339e+04         -7.05893797e+04         -1.33602541e+03
   101        -2.43416860e+04         -6.41428987e+04         -8.54983865e+02
   102        -2.32189535e+04         -5.93093241e+04         -2.99862773e+02
   103        -2.15480530e+04         -5.56152814e+04          1.56123711e+03
   104        -1.94790971e+04         -5.26739177e+04          4.29577170e+03
   105        -1.71710230e+04         -5.01061913e+04          7.65753577e+03
   106        -1.47906208e+04         -4.76222330e+04          1.15803646e+04
   107        -1.25242082e+04         -4.49664022e+04          1.61081973e+04
   108        -1.17409039e+04         -4.50414814e+04          1.86280670e+04
   109        -2.03979638e+04         -5.63038410e+04         -1.50034613e+03
   110        -1.96529775e+04         -5.18582766e+04         -1.32219382e+03
   111        -1.89526072e+04         -4.83123342e+04         -1.31057210e+03
   112        -1.78513845e+04         -4.54772078e+04         -9.89727559e+00
   113        -1.63891518e+04         -4.31489336e+04          2.22278947e+03
   114        -1.46333578e+04         -4.10807410e+04          5.15129595e+03
   115        -1.26620539e+04         -3.91253221e+04          8.67797344e+03
   116        -1.06380578e+04         -3.71877893e+04          1.28727138e+04
   117        -1.00105022e+04         -3.80433374e+04          1.52513844e+04
   118        -1.53352579e+04         -4.17451041e+04         -1.51634882e+03
   119        -1.49936902e+04         -3.91638227e+04         -1.50619768e+03
   120        -1.47331842e+04         -3.68260481e+04         -1.86715609e+03
   121        -1.41945302e+04         -3.48805690e+04         -1.06982907e+03
   122        -1.33060846e+04         -3.32436404e+04          6.32593176e+02
   123        -1.20818100e+04         -3.17385777e+04          3.04323188e+03
   124        -1.05265919e+04         -3.02738306e+04          6.03698487e+03
   125        -8.72777968e+03         -2.89716583e+04          9.70727030e+03
   126        -8.27353829e+03         -3.07926789e+04          1.18370097e+04
   127        -1.03396140e+04         -2.72900097e+04         -1.35028546e+03
   128        -1.03944069e+04         -2.62210546e+04         -1.36516421e+03
   129        -1.06398752e+04         -2.49049877e+04         -1.90897513e+03
   130        -1.07227175e+04         -2.37863631e+04         -1.54345717e+03
   131        -1.04422790e+04         -2.28340841e+04         -4.01519112e+02
   132        -9.71900197e+03         -2.19167537e+04          1.39484430e+03
   133        -8.53816633e+03         -2.09621719e+04          3.71428571e+03
   134        -6.86906262e+03         -2.01032421e+04          6.62768095e+03
   135        -6.51931469e+03         -2.28000343e+04          8.34419355e+03
   136        -5.45309888e+03         -1.34872584e+04         -1.05533983e+03
   137        -5.81426394e+03         -1.32671698e+04         -8.59928358e+02
   138        -6.63145939e+03         -1.26960470e+04         -1.30124014e+03
   139        -7.51087838e+03         -1.22109962e+04         -1.22272577e+03
   140        -8.08185246e+03         -1.18006237e+04         -6.54963295e+02
   141        -8.01028009e+03         -1.13801946e+04          3.60044305e+02
   142        -7.07080231e+03         -1.08856551e+04          1.78296879e+03
   143        -5.21649206e+03         -1.04645689e+04          3.52358819e+03
   144        -4.59983019e+03         -1.29743960e+04          4.49757243e+03
   145        -1.16764148e+03         -6.27356233e+03         -8.41311425e+02
   146        -1.75302119e+03         -6.28086710e+03         -3.69191587e+02
   147        -3.34944754e+03         -6.07718770e+03         -6.00068978e+02
   148        -5.54085030e+03         -6.00839877e+03         -6.82674778e+02
   149        -7.62240812e+03         -6.06327458e+03         -6.07130316e+02
   150        -8.95778897e+03         -6.17998645e+03         -3.54585815e+02
   151        -8.88799172e+03         -6.24074817e+03          1.79511562e+02
   152        -6.47954396e+03         -6.11260151e+03          1.15490962e+03
   153        -4.92259622e+03         -7.86118052e+03          1.79521312e+03
