节点位移  单位：m
  节点号         x方向位移               y方向位移
   606         6.93227202e-06         -1.95733948e-05
   607         6.90882679e-06         -1.93742627e-05
   608         6.89861293e-06         -1.91662717e-05
   609         7.30893742e-06         -2.15458719e-05
   610         7.31028167e-06         -2.14026447e-05
   611         7.31056641e-06         -2.12712411e-05
   612         7.30769951e-06         -2.11520873e-05
   613         7.29967230e-06         -2.10439610e-05
   614         7.28506411e-06         -2.09446748e-05
   615         7.26305767e-06         -2.08515956e-05
   616         7.23335703e-06         -2.07619126e-05
   617         7.19610824e-06         -2.06727843e-05
   618         7.15184013e-06         -2.05814228e-05
   619         7.10142709e-06         -2.04851463e-05
   620         7.04607395e-06         -2.03814164e-05
   621         6.98732558e-06         -2.02678726e-05
   622         6.92710831e-06         -2.01423775e-05
   623         6.86781752e-06         -2.00030953e-05
   624         6.81247781e-06         -1.98486551e-05
   625         6.76501768e-06         -1.96785426e-05
   626         6.73064463e-06         -1.94941133e-05
   627         6.71658576e-06         -1.93025546e-05
节点应力  单位：N/m^2
  节点号         x方向正应力               y方向正应力               剪应力
     1        -5.62063223e+03         -2.80358482e+04          7.78150587e+04
     2        -2.82224323e+04         -1.40774168e+05          4.91726185e+04
